Year,CPI,Percent_Change
1913,9.9,
1914,10,0.013
1915,10.1,0.009
1916,10.9,0.077
1917,12.8,0.178
1918,15,0.173
1919,17.3,0.152
1920,20,0.156
1921,17.9,-0.109
1922,16.8,-0.062
1923,17.1,0.018
1924,17.1,0.004
1925,17.5,0.024
1926,17.7,0.009
1927,17.4,-0.019
1928,17.2,-0.012
1929,17.2,0
1930,16.7,-0.027
1931,15.2,-0.089
1932,13.6,-0.103
1933,12.9,-0.052
1934,13.4,0.035
1935,13.7,0.026
1936,13.9,0.01
1937,14.4,0.037
1938,14.1,-0.02
1939,13.9,-0.013
1940,14,0.007
1941,14.7,0.051
1942,16.3,0.109
1943,17.3,0.06
1944,17.6,0.016
1945,18,0.023
1946,19.5,0.085
1947,22.3,0.144
1948,24,0.077
1949,23.8,-0.01
1950,24.1,0.011
1951,26,0.079
1952,26.6,0.023
1953,26.8,0.008
1954,26.9,0.003
1955,26.8,-0.003
1956,27.2,0.015
1957,28.1,0.033
1958,28.9,0.027
1959,29.2,0.0108
1960,29.6,0.015
1961,29.9,0.011
1962,30.3,0.012
1963,30.6,0.012
1964,31,0.013
1965,31.5,0.016
1966,32.5,0.03
1967,33.4,0.028
1968,34.8,0.043
1969,36.7,0.055
1970,38.8,0.058
1971,40.5,0.043
1972,41.8,0.033
1973,44.4,0.062
1974,49.3,0.111
1975,53.8,0.091
1976,56.9,0.057
1977,60.6,0.065
1978,65.2,0.076
1979,72.6,0.113
1980,82.4,0.135
1981,90.9,0.103
1982,96.5,0.061
1983,99.6,0.032
1984,103.9,0.043
1985,107.6,0.035
1986,109.6,0.019
1987,113.6,0.037
1988,118.3,0.041
1989,124,0.048
1990,130.7,0.054
1991,136.2,0.042
1992,140.3,0.03
1993,144.5,0.03
1994,148.2,0.026
1995,152.4,0.028
1996,156.9,0.029
1997,160.5,0.023
1998,163,0.016
1999,166.6,0.022
2000,172.2,0.034
2001,177.1,0.028
2002,179.9,0.016
2003,184,0.023
2004,188.9,0.027
2005,195.3,0.034
2006,201.6,0.032
2007,207.3,0.029
2008,215.3,0.038
2009,214.5,-0.004
2010,218.1,0.016
2011,224.9,0.032
2012,229.6,0.021
2013,233,0.015
2014,236.7,0.016
2015,237,0.001
2016,240,0.013
2017,245.1,0.021
2018,251.1,0.024
2019,255.7,0.018
2020,258.8,0.012
2021,271,0.047
2022,292.7,0.08
2023,309.6,0.058